# art_index	definition_id	name	tier	faction	frame
0	beast-1	风灵	1	nature	0102
1	beast-21	坚果蝠	2	nature	0105
2	beast-18	小龙崽	3	nature	0112
3	beast-22	祝蝠	3	nature	0122
4	beast-26	小黑龙	4	nature	0133
5	beast-27	吸血魔灵	4	nature	0142
6	beast-31	火龙果	5	nature	0147
7	beast-8	翡翠龙	6	nature	0152
8	beast-11	史矛格	7	nature	0162
9	beast-37	史矛格	7	nature	0169
10	beast-38	史矛格	7	nature	0178
11	beast-39	史矛格	7	nature	0187
12	beast-12	黄金史矛格	8	nature	0197
13	beast-2	优秀经验精灵	1	element	0237
14	beast-20	火灵	1	element	0242
15	beast-3	精良经验精灵	2	element	0247
16	beast-4	电灵	2	element	0252
17	beast-23	稀有经验精灵	3	element	0257
18	beast-24	火元素	3	element	0262
19	beast-28	史诗经验精灵	4	element	0272
20	beast-29	小火龙	4	element	0277
21	beast-32	传说经验精灵	5	element	0287
22	beast-33	冰霜龙	5	element	0292
23	beast-7	完美经验精灵	6	element	0297
24	beast-36	寒冰领主	6	element	0307
25	beast-10	雷神	7	element	0312
26	beast-40	雷神	7	element	0319
27	beast-41	雷神	7	element	0325
28	beast-42	雷神	7	element	0332
29	beast-13	九霄雷神	8	element	0337
30	beast-19	大眼蝠	3	shadow	0351
31	beast-25	雪幽灵	3	shadow	0357
32	beast-5	古拉蝠	4	shadow	0362
33	beast-30	幽灵法师	4	shadow	0367
34	beast-34	电波龙	5	shadow	0372
35	beast-6	梦魔	6	shadow	0382
36	beast-14	德古拉	7	shadow	0387
37	beast-43	德古拉	7	shadow	0394
38	beast-44	德古拉	7	shadow	0400
39	beast-45	德古拉	7	shadow	0406
40	beast-15	血焰德古拉	8	shadow	0412
41	beast-35	精灵龙	5	legend	0447
42	beast-9	幽灵公主	6	legend	0452
43	beast-16	月之祭司	7	legend	0457
44	beast-46	月之祭司	7	legend	0463
45	beast-47	月之祭司	7	legend	0475
46	beast-48	月之祭司	7	legend	0481
47	beast-17	暗月祭司	8	legend	0487
